iter	Passed	Remaining
0	235	117512
1	246	61396
2	256	42416
3	265	32924
4	275	27234
5	285	23527
6	296	20872
7	307	18904
8	319	17410
9	329	16135
10	340	15154
11	353	14387
12	366	13714
13	376	13080
14	389	12591
15	401	12150
16	412	11721
17	424	11361
18	437	11084
19	450	10808
20	461	10534
21	475	10327
22	489	10149
23	501	9951
24	513	9749
25	525	9582
26	539	9447
27	550	9279
28	560	9095
29	572	8971
30	584	8836
31	595	8706
32	605	8574
33	617	8464
34	628	8353
35	639	8237
36	649	8127
37	662	8055
38	673	7961
39	686	7890
40	700	7847
41	717	7824
42	728	7743
43	740	7671
44	751	7596
45	762	7526
46	773	7456
47	784	7388
48	794	7313
49	806	7260
50	817	7201
51	828	7141
52	839	7078
53	852	7040
54	866	7010
55	879	6975
56	891	6931
57	906	6906
58	944	7057
59	960	7041
60	972	7001
61	985	6958
62	996	6913
63	1008	6870
64	1021	6835
65	1035	6810
66	1046	6761
67	1057	6720
68	1072	6701
69	1086	6673
70	1098	6639
71	1112	6614
72	1126	6587
73	1138	6555
74	1150	6518
75	1163	6492
76	1178	6473
77	1190	6443
78	1201	6404
79	1222	6416
80	1233	6378
81	1244	6345
82	1259	6327
83	1273	6307
84	1286	6281
85	1298	6250
86	1310	6222
87	1322	6193
88	1335	6165
89	1347	6138
90	1362	6124
91	1373	6092
92	1388	6075
93	1402	6059
94	1417	6041
95	1430	6019
96	1446	6010
97	1461	5996
98	1476	5980
99	1491	5965
100	1506	5951
101	1518	5925
102	1530	5898
103	1543	5878
104	1556	5855
105	1569	5833
106	1582	5812
107	1599	5805
108	1611	5781
109	1625	5762
110	1640	5749
111	1650	5718
112	1661	5691
113	1674	5668
114	1686	5646
115	1697	5618
116	1708	5592
117	1719	5567
118	1732	5548
119	1744	5525
120	1756	5502
121	1769	5483
122	1781	5460
123	1792	5434
124	1803	5409
125	1818	5397
126	1829	5372
127	1839	5347
128	1850	5320
129	1861	5298
130	1873	5276
131	1883	5250
132	1895	5230
133	1906	5206
134	1917	5184
135	1927	5160
136	1938	5137
137	1950	5116
138	1962	5096
139	1974	5076
140	1985	5054
141	1996	5034
142	2007	5011
143	2018	4989
144	2029	4969
145	2041	4950
146	2052	4928
147	2064	4909
148	2075	4890
149	2086	4868
150	2097	4848
151	2108	4826
152	2119	4805
153	2129	4784
154	2141	4765
155	2152	4745
156	2163	4726
157	2174	4706
158	2185	4688
159	2197	4670
160	2208	4649
161	2221	4634
162	2233	4616
163	2244	4598
164	2255	4578
165	2266	4561
166	2278	4543
167	2289	4524
168	2300	4505
169	2311	4486
170	2322	4468
171	2333	4449
172	2343	4430
173	2355	4413
174	2367	4396
175	2378	4377
176	2388	4358
177	2400	4341
178	2410	4322
179	2420	4303
180	2432	4286
181	2443	4268
182	2454	4251
183	2467	4236
184	2478	4220
185	2488	4201
186	2499	4184
187	2512	4169
188	2523	4152
189	2533	4133
190	2544	4115
191	2555	4099
192	2565	4081
193	2578	4066
194	2589	4049
195	2600	4032
196	2610	4015
197	2622	3999
198	2633	3982
199	2644	3967
200	2656	3951
201	2666	3934
202	2678	3919
203	2689	3902
204	2701	3887
205	2711	3869
206	2722	3853
207	2732	3836
208	2770	3857
209	2786	3848
210	2798	3833
211	2809	3816
212	2819	3798
213	2829	3781
214	2839	3764
215	2849	3747
216	2860	3730
217	2871	3714
218	2882	3698
219	2894	3684
220	2905	3667
221	2916	3652
222	2927	3636
223	2938	3620
224	2948	3604
225	2961	3589
226	2973	3575
227	2983	3559
228	2993	3543
229	3004	3527
230	3015	3512
231	3027	3497
232	3039	3482
233	3050	3467
234	3061	3452
235	3072	3437
236	3083	3422
237	3095	3407
238	3105	3391
239	3116	3376
240	3127	3361
241	3138	3345
242	3149	3331
243	3161	3316
244	3172	3301
245	3183	3286
246	3194	3271
247	3205	3256
248	3215	3241
249	3231	3231
250	3242	3216
251	3253	3201
252	3265	3187
253	3276	3172
254	3286	3158
255	3300	3145
256	3311	3130
257	3322	3116
258	3333	3102
259	3345	3087
260	3356	3073
261	3366	3058
262	3378	3044
263	3389	3029
264	3400	3015
265	3411	3001
266	3422	2986
267	3432	2971
268	3443	2956
269	3457	2944
270	3468	2930
271	3478	2915
272	3489	2901
273	3501	2888
274	3512	2874
275	3523	2859
276	3534	2845
277	3545	2831
278	3556	2817
279	3568	2803
280	3580	2790
281	3592	2777
282	3602	2762
283	3613	2747
284	3625	2734
285	3636	2720
286	3647	2707
287	3659	2693
288	3672	2681
289	3683	2667
290	3693	2652
291	3704	2638
292	3715	2625
293	3727	2611
294	3738	2597
295	3749	2583
296	3759	2569
297	3771	2556
298	3782	2542
299	3793	2528
300	3803	2514
301	3815	2501
302	3826	2487
303	3837	2474
304	3848	2460
305	3859	2447
306	3870	2433
307	3881	2419
308	3892	2405
309	3904	2393
310	3915	2379
311	3926	2365
312	3937	2352
313	3949	2339
314	3961	2326
315	3972	2312
316	3982	2299
317	3993	2285
318	4004	2272
319	4016	2259
320	4028	2246
321	4040	2233
322	4050	2219
323	4062	2206
324	4073	2193
325	4083	2179
326	4094	2166
327	4106	2153
328	4116	2139
329	4127	2126
330	4139	2113
331	4149	2099
332	4160	2086
333	4171	2073
334	4184	2061
335	4195	2047
336	4206	2034
337	4218	2021
338	4238	2012
339	4249	1999
340	4260	1986
341	4272	1973
342	4282	1960
343	4294	1947
344	4304	1934
345	4315	1920
346	4327	1907
347	4338	1895
348	4349	1881
349	4359	1868
350	4371	1855
351	4383	1843
352	4394	1830
353	4405	1816
354	4417	1804
355	4429	1791
356	4439	1778
357	4478	1776
358	4494	1765
359	4506	1752
360	4517	1739
361	4526	1725
362	4537	1712
363	4546	1698
364	4557	1685
365	4568	1672
366	4579	1659
367	4591	1646
368	4601	1633
369	4612	1620
370	4622	1607
371	4633	1594
372	4646	1581
373	4656	1568
374	4666	1555
375	4678	1543
376	4691	1530
377	4702	1517
378	4713	1504
379	4724	1491
380	4735	1479
381	4746	1466
382	4757	1453
383	4768	1440
384	4779	1427
385	4790	1414
386	4800	1401
387	4811	1388
388	4822	1375
389	4833	1363
390	4845	1350
391	4855	1337
392	4866	1324
393	4877	1312
394	4888	1299
395	4898	1286
396	4908	1273
397	4920	1260
398	4930	1247
399	4941	1235
400	4954	1223
401	4965	1210
402	4975	1197
403	4987	1185
404	4998	1172
405	5009	1159
406	5021	1147
407	5033	1134
408	5044	1122
409	5055	1109
410	5065	1096
411	5076	1084
412	5086	1071
413	5097	1058
414	5108	1046
415	5120	1033
416	5131	1021
417	5143	1008
418	5154	996
419	5165	983
420	5176	971
421	5188	959
422	5198	946
423	5210	933
424	5221	921
425	5232	908
426	5244	896
427	5256	884
428	5267	871
429	5278	859
430	5288	846
431	5301	834
432	5311	821
433	5322	809
434	5332	796
435	5344	784
436	5354	771
437	5366	759
438	5380	747
439	5391	735
440	5404	723
441	5415	710
442	5425	698
443	5438	685
444	5448	673
445	5459	660
446	5471	648
447	5483	636
448	5495	624
449	5505	611
450	5516	599
451	5529	587
452	5540	574
453	5551	562
454	5562	550
455	5574	537
456	5585	525
457	5596	513
458	5606	500
459	5618	488
460	5628	476
461	5640	463
462	5651	451
463	5661	439
464	5673	427
465	5685	414
466	5696	402
467	5707	390
468	5719	378
469	5732	365
470	5744	353
471	5758	341
472	5771	329
473	5783	317
474	5795	305
475	5809	292
476	5822	280
477	5834	268
478	5847	256
479	5860	244
480	5874	232
481	5886	219
482	5897	207
483	5908	195
484	5918	183
485	5932	170
486	5950	158
487	5963	146
488	5977	134
489	5988	122
490	5999	109
491	6011	97
492	6023	85
493	6035	73
494	6046	61
495	6057	48
496	6069	36
497	6081	24
498	6092	12
499	6104	0
