Player_name
"SABALENKA, Aryna "
"RYBAKINA, Elena (KAZ) "
"SWIATEK, Iga (POL) "
"GAUFF, Coco (USA) "
"PEGULA, Jessica (USA) "
"ANISIMOVA, Amanda (USA) "
"SVITOLINA, Elina (UKR) "
"ANDREEVA, Mirra "
"MUCHOVA, Karolina (CZE) "
"BENCIC, Belinda (SUI) "
"NOSKOVA, Linda (CZE) "
"PAOLINI, Jasmine (ITA) "
"ALEXANDROVA, Ekaterina "
"KOSTYUK, Marta (UKR) "
"OSAKA, Naomi (JPN) "
"JOVIC, Iva (USA) "
"CIRSTEA, Sorana (ROU) "
"KEYS, Madison (USA) "
"SAMSONOVA, Liudmila "
"TAUSON, Clara (DEN) "
"KALINSKAYA, Anna "
"MERTENS, Elise (BEL) "
"FERNANDEZ, Leylah (CAN) "
"SHNAIDER, Diana "
"BOUZKOVA, Marie (CZE) "
"POTAPOVA, Anastasia (AUT) "
"OSTAPENKO, Jelena (LAT) "
"LI, Ann (USA) "
"WANG, Xinyu (CHN) "
"CRISTIAN, Jaqueline (ROU) "
"JOINT, Maya (AUS) "
"BEJLEK, Sara (CZE) "
"SINIAKOVA, Katerina (CZE) "
"RADUCANU, Emma (GBR) "
"EALA, Alexandra (PHI) "
"NAVARRO, Emma (USA) "
"COCCIARETTO, Elisabetta (ITA) "
"PLISKOVA, Karolina (CZE) SR"
"TJEN, Janice (INA) "
"KREJCIKOVA, Barbora (CZE) "
"VALENTOVA, Tereza (CZE) "
"YASTREMSKA, Dayana (UKR) "
"SIEGEMUND, Laura (GER) "
"KESSLER, Mccartney (USA) "
"SAKKARI, Maria (GRE) "
"FRECH, Magdalena (POL) "
"BOISSON, Lois (FRA) "
"BOUZAS MANEIRO, Jessica (ESP) "
"MARIA, Tatjana (GER) "
"ZHENG, Qinwen (CHN) "
"STARODUBTSEVA, Yuliia (UKR) "
"GIBSON, Talia (AUS) "
"MCNALLY, Caty (USA) "
"LINETTE, Magda (POL) "
"BONDAR, Anna (HUN) "
"SONMEZ, Zeynep (TUR) "
"RUZIC, Antonia (CRO) "
"KASATKINA, Daria (AUS) "
"JACQUEMOT, Elsa (FRA) "
"SIERRA, Solana (ARG) "
"BARTUNKOVA, Nikola (CZE) "
"OLIYNYKOVA, Oleksandra (UKR) "
"UDVARDY, Panna (HUN) "
"BOULTER, Katie (GBR) "
"VEKIC, Donna (CRO) "
"ZARAZUA, Renata (MEX) "
"TOWNSEND, Taylor (USA) "
"ZHANG, Shuai (CHN) "
"PUTINTSEVA, Yulia (KAZ) "
"RUSE, Elena-Gabriela (ROU) "
"MARCINKO, Petra (CRO) "
"OSORIO, Camila (COL) "
"HADDAD MAIA, Beatriz (BRA) "
"ZAKHAROVA, Anastasia "
"PARKS, Alycia (USA) "
"LYS, Eva (GER) "
"GOLUBIC, Viktorija (SUI) "
"BEGU, Irina-Camelia (ROU) SR"
"BIRRELL, Kimberly (AUS) "
"ERJAVEC, Veronika (SLO) "
"RAKHIMOVA, Kamilla (UZB) "
"SORRIBES TORMO, Sara (ESP) SR"
"KENIN, Sofia (USA) "
"ITO, Aoi (JPN) SR"
"SELEKHMETEVA, Oksana (ESP) "
"KALININA, Anhelina (UKR) "
"TOMLJANOVIC, Ajla (AUS) "
"TAGGER, Lilli (AUT) "
"STEARNS, Peyton (USA) "
"WALTERT, Simona (SUI) "
"PARRY, Diane (FRA) "
"SNIGUR, Daria (UKR) "
"KORPATSCH, Tamara (GER) "
"SEIDEL, Ella (GER) "
"ARANGO, Emiliana (COL) "
"BLINKOVA, Anna "
"TARARUDEE, Lanlana (THA) "
"KRAUS, Sinja (AUT) "
"VANDEWINKEL, Hanne (BEL) "
"BADOSA, Paula (ESP) "
"VIDMANOVA, Darja (CZE) "
"JONES, Francesca (GBR) "
"JIMENEZ KASINTSEVA, Victoria (AND) "
"PODOROSKA, Nadia (ARG) SR"
"CHWALINSKA, Maja (POL)"
"DART, Harriet (GBR)"
"SWAN, Katie (GBR)"
"XU, Mimi (GBR)"
"DUDENEY, Alicia (GBR)"
"STOJSAVLJEVIC, Mika (GBR)"
"KLUGMAN, Hannah (GBR)"
"WILLIAMS, Serena (USA)"


































