feature,importance
rank_diff,10.686701736225919
career_win_pct_diff,10.619871608268207
grass_form_diff_10,9.574300864431669
form_diff_10,9.023919913899904
experience_diff,8.657823327574185
elo_diff,7.856786848268406
age_diff,6.460015189498625
form_diff_5,6.412505264011496
grass_win_pct_diff,6.022469968611676
grass_elo_diff,5.74939643200788
grass_specialization_diff,5.109081823093209
h2h_win_pct_diff,4.573587818758972
surface_Clay,2.283470079805295
surface_Grass,1.3575758219257004
surface_Hard,1.1941796746980333
round_R64,1.0570209345454662
round_R128,0.8860657749346514
round_R16,0.7791101439481387
grass_h2h_win_pct_diff,0.6276412439688346
round_QF,0.530951595323144
round_R32,0.34858858923709096
round_F,0.16724450347022313
round_SF,0.021690843493273798
is_masters,0.0
is_grand_slam,0.0
round_BR,0.0
is_atp500,0.0
is_atp250,0.0
round_RR,0.0
surface_Carpet,0.0
surface_clay,0.0
